payment_year,diagnosis_code,age_at_diag_min,age_at_diag_max,age_last_min,age_last_max,sex,hhs_hcc
2023,B457,NA,NA,NA,NA,NA,6
2023,B458,NA,NA,NA,NA,NA,6
2023,B459,NA,NA,NA,NA,NA,6
2023,B460,NA,NA,NA,NA,NA,6
2023,B461,NA,NA,NA,NA,NA,6
2023,B462,NA,NA,NA,NA,NA,6
2023,B463,NA,NA,NA,NA,NA,6
2023,B464,NA,NA,NA,NA,NA,6
2023,B465,NA,NA,NA,NA,NA,6
2023,B468,NA,NA,NA,NA,NA,6
2023,B469,NA,NA,NA,NA,NA,6
2023,B484,NA,NA,NA,NA,NA,6
2023,B488,NA,NA,NA,NA,NA,6
