payment_year,diagnosis_code,age_at_diag_min,age_at_diag_max,age_last_min,age_last_max,sex,hhs_hcc
2023,C9332,0,17,NA,NA,NA,9
2023,C9390,NA,NA,NA,NA,NA,9
2023,C9391,NA,NA,NA,NA,NA,9
2023,C9392,NA,NA,NA,NA,NA,9
2023,C93Z0,NA,NA,NA,NA,NA,9
2023,C93Z1,NA,NA,NA,NA,NA,9
2023,C93Z2,NA,NA,NA,NA,NA,9
2023,C9400,NA,NA,NA,NA,NA,8
2023,C9401,NA,NA,NA,NA,NA,8
2023,C9402,NA,NA,NA,NA,NA,8
2023,C9420,NA,NA,NA,NA,NA,8
2023,C9421,NA,NA,NA,NA,NA,8
2023,C9422,NA,NA,NA,NA,NA,8
2023,C9430,NA,NA,NA,NA,NA,9
2023,C9431,NA,NA,NA,NA,NA,9
2023,C9432,NA,NA,NA,NA,NA,9
2023,C9440,NA,NA,NA,NA,NA,8
2023,C9441,NA,NA,NA,NA,NA,8
2023,C9442,NA,NA,NA,NA,NA,8
2023,C946,NA,NA,NA,NA,NA,75
2023,C9480,NA,NA,NA,NA,NA,9
2023,C9481,NA,NA,NA,NA,NA,9
2023,C9482,NA,NA,NA,NA,NA,9
2023,C9500,NA,NA,18,NA,NA,8
2023,C9500,NA,NA,NA,17,NA,9
2023,C9501,NA,NA,18,NA,NA,8
2023,C9501,NA,NA,NA,17,NA,9
2023,C9502,NA,NA,18,NA,NA,8
2023,C9502,NA,NA,NA,17,NA,9
2023,C9510,NA,NA,NA,NA,NA,10
2023,C9511,NA,NA,NA,NA,NA,10
2023,C9512,NA,NA,NA,NA,NA,10
2023,C9590,NA,NA,NA,NA,NA,10
2023,C9591,NA,NA,NA,NA,NA,10
2023,C9592,NA,NA,NA,NA,NA,10
2023,C960,NA,NA,NA,NA,NA,10
2023,C9620,NA,NA,NA,NA,NA,10
2023,C9621,NA,NA,NA,NA,NA,10
2023,C9622,NA,NA,NA,NA,NA,10
2023,C9629,NA,NA,NA,NA,NA,10
2023,C964,NA,NA,NA,NA,NA,10
2023,C965,NA,NA,NA,NA,NA,10
2023,C966,NA,NA,NA,NA,NA,10
2023,C969,NA,NA,NA,NA,NA,10
2023,C96A,NA,NA,NA,NA,NA,10
2023,C96Z,NA,NA,NA,NA,NA,10
2023,D030,NA,NA,NA,NA,NA,13
2023,D0310,NA,NA,NA,NA,NA,13
