payment_year,hcpcs_cpt_code,included_flag
2023,12036,yes
2023,12037,yes
2023,12041,yes
2023,12042,yes
2023,12044,yes
2023,12045,yes
2023,12046,yes
2023,12047,yes
2023,12051,yes
2023,12052,yes
2023,12053,yes
2023,12054,yes
2023,12055,yes
2023,12056,yes
2023,12057,yes
2023,13100,yes
2023,13101,yes
2023,13120,yes
2023,13121,yes
2023,13131,yes
2023,13132,yes
2023,13151,yes
2023,13152,yes
2023,13160,yes
2023,14000,yes
2023,14001,yes
2023,14020,yes
2023,14021,yes
2023,14040,yes
2023,14041,yes
2023,14060,yes
2023,14061,yes
2023,14301,yes
2023,14350,yes
2023,15040,yes
2023,15050,yes
2023,15100,yes
2023,15110,yes
2023,15115,yes
2023,15120,yes
2023,15130,yes
2023,15135,yes
2023,15150,yes
2023,15155,yes
2023,15200,yes
2023,15220,yes
2023,15240,yes
2023,15260,yes
2023,15271,yes
2023,15273,yes
2023,15275,yes
2023,15277,yes
2023,15570,yes
2023,15572,yes
2023,15574,yes
2023,15576,yes
2023,15600,yes
2023,15610,yes
2023,15620,yes
2023,15630,yes
2023,15650,yes
2023,15730,yes
2023,15731,yes
2023,15733,yes
2023,15734,yes
2023,15736,yes
2023,15738,yes
2023,15740,yes
2023,15750,yes
2023,15756,yes
2023,15757,yes
2023,15758,yes
2023,15760,yes
2023,15769,yes
2023,15770,yes
2023,15771,yes
2023,15773,yes
2023,15775,yes
2023,15776,yes
2023,15778,yes
2023,15780,yes
2023,15781,yes
2023,15782,yes
2023,15783,yes
2023,15786,yes
2023,15788,yes
2023,15789,yes
2023,15792,yes
2023,15793,yes
2023,15819,yes
2023,15820,yes
2023,15821,yes
2023,15822,yes
2023,15823,yes
2023,15824,yes
2023,15825,yes
2023,15826,yes
2023,15828,yes
2023,15829,yes
2023,15830,yes
2023,15832,yes
2023,15833,yes
2023,15834,yes
2023,15835,yes
2023,15836,yes
2023,15837,yes
2023,15838,yes
2023,15839,yes
2023,15840,yes
2023,15841,yes
2023,15842,yes
2023,15845,yes
2023,15852,yes
2023,15860,yes
2023,15876,yes
2023,15877,yes
2023,15878,yes
2023,15879,yes
2023,15920,yes
2023,15922,yes
2023,15931,yes
2023,15933,yes
2023,15934,yes
2023,15935,yes
2023,15936,yes
2023,15937,yes
2023,15940,yes
